arxiv_id,arxiv_base_id,title,authors,year,published,updated,abstract,categories,abs_url,pdf_url,source_query,pdf_path,text_path,download_status,extract_status,text_chars,is_anchor
2411.07569v1,2411.07569,Towards Automated Model Design on Recommender Systems,Tunhou Zhang; Dehua Cheng; Yuchen He; Zhengxing Chen; Xiaoliang Dai; Liang Xiong; Yudong Liu; Feng Cheng; Yufan Cao; Feng Yan; Hai Li; Yiran Chen; Wei Wen,2024,2024-11-12T06:03:47Z,2024-11-12T06:03:47Z,"The increasing popularity of deep learning models has created new opportunities for developing AI-based recommender systems. Designing recommender systems using deep neural networks requires careful architecture design, and further optimization demands extensive co-design efforts on jointly optimizing model architecture and hardware. Design automation, such as Automated Machine Learning (AutoML), is necessary to fully exploit the potential of recommender model design, including model choices and model-hardware co-design strategies. We introduce a novel paradigm that utilizes weight sharing to explore abundant solution spaces. Our paradigm creates a large supernet to search for optimal architectures and co-design strategies to address the challenges of data multi-modality and heterogeneity in the recommendation domain. From a model perspective, the supernet includes a variety of operators, dense connectivity, and dimension search options. From a co-design perspective, it encompasses versatile Processing-In-Memory (PIM) configurations to produce hardware-efficient models. Our solution space's scale, heterogeneity, and complexity pose several challenges, which we address by proposing various techniques for training and evaluating the supernet. Our crafted models show promising results on three Click-Through Rates (CTR) prediction benchmarks, outperforming both manually designed and AutoML-crafted models with state-of-the-art performance when focusing solely on architecture search. From a co-design perspective, we achieve 2x FLOPs efficiency, 1.8x energy efficiency, and 1.5x performance improvements in recommender models.",cs.IR,http://arxiv.org/abs/2411.07569v1,https://arxiv.org/pdf/2411.07569v1,"cat:cs.IR AND all:""recommender systems""",data/raw/pdfs/2411.07569.pdf,data/processed/texts/2411.07569.txt,already_exists,extracted,67957,False
2111.13463v2,2111.13463,Generating Usage-related Questions for Preference Elicitation in Conversational Recommender Systems,Ivica Kostric; Krisztian Balog; Filip Radlinski,2021,2021-11-26T12:23:14Z,2025-04-08T13:25:51Z,"A key distinguishing feature of conversational recommender systems over traditional recommender systems is their ability to elicit user preferences using natural language. Currently, the predominant approach to preference elicitation is to ask questions directly about items or item attributes. Users searching for recommendations may not have deep knowledge of the available options in a given domain. As such, they might not be aware of key attributes or desirable values for them. However, in many settings, talking about the planned use of items does not present any difficulties, even for those that are new to a domain. In this paper, we propose a novel approach to preference elicitation by asking implicit questions based on item usage. As one of the main contributions of this work, we develop a multi-stage data annotation protocol using crowdsourcing, to create a high-quality labeled training dataset. Another main contribution is the development of four models for the question generation task: two template-based baseline models and two neural text-to-text models. The template-based models use heuristically extracted common patterns found in the training data, while the neural models use the training data to learn to generate questions automatically. Using common metrics from machine translation for automatic evaluation, we show that our approaches are effective in generating elicitation questions, even with limited training data. We further employ human evaluation for comparing the generated questions using both pointwise and pairwise evaluation designs. We find that the human evaluation results are consistent with the automatic ones, allowing us to draw conclusions about the quality of the generated questions with certainty. Finally, we provide a detailed analysis of cases where the models show their limitations.",cs.IR; cs.AI; cs.CL,http://arxiv.org/abs/2111.13463v2,https://arxiv.org/pdf/2111.13463v2,"cat:cs.IR AND all:""recommender systems""",data/raw/pdfs/2111.13463.pdf,data/processed/texts/2111.13463.txt,already_exists,extracted,73297,False
2009.12192v1,2009.12192,Tuning Word2vec for Large Scale Recommendation Systems,Benjamin P. Chamberlain; Emanuele Rossi; Dan Shiebler; Suvash Sedhain; Michael M. Bronstein,2020,2020-09-24T10:50:19Z,2020-09-24T10:50:19Z,"Word2vec is a powerful machine learning tool that emerged from Natural Lan-guage Processing (NLP) and is now applied in multiple domains, including recom-mender systems, forecasting, and network analysis. As Word2vec is often used offthe shelf, we address the question of whether the default hyperparameters are suit-able for recommender systems. The answer is emphatically no. In this paper, wefirst elucidate the importance of hyperparameter optimization and show that un-constrained optimization yields an average 221% improvement in hit rate over thedefault parameters. However, unconstrained optimization leads to hyperparametersettings that are very expensive and not feasible for large scale recommendationtasks. To this end, we demonstrate 138% average improvement in hit rate with aruntime budget-constrained hyperparameter optimization. Furthermore, to makehyperparameter optimization applicable for large scale recommendation problemswhere the target dataset is too large to search over, we investigate generalizinghyperparameters settings from samples. We show that applying constrained hy-perparameter optimization using only a 10% sample of the data still yields a 91%average improvement in hit rate over the default parameters when applied to thefull datasets. Finally, we apply hyperparameters learned using our method of con-strained optimization on a sample to the Who To Follow recommendation serviceat Twitter and are able to increase follow rates by 15%.",cs.IR; cs.CL; cs.LG,http://arxiv.org/abs/2009.12192v1,https://arxiv.org/pdf/2009.12192v1,"cat:cs.IR AND all:""recommender systems""",data/raw/pdfs/2009.12192.pdf,data/processed/texts/2009.12192.txt,already_exists,extracted,27349,False
2409.15060v1,2409.15060,EMERS: Energy Meter for Recommender Systems,Lukas Wegmeth; Tobias Vente; Alan Said; Joeran Beel,2024,2024-09-23T14:35:06Z,2024-09-23T14:35:06Z,"Due to recent advancements in machine learning, recommender systems use increasingly more energy for training, evaluation, and deployment. However, the recommender systems community often does not report the energy consumption of their experiments. In today's research landscape, no tools exist to easily measure the energy consumption of recommender systems experiments. To bridge this gap, we introduce EMERS, the first software library that simplifies measuring, monitoring, recording, and sharing the energy consumption of recommender systems experiments. EMERS measures energy consumption with smart power plugs and offers a user interface to monitor and compare the energy consumption of recommender systems experiments. Thereby, EMERS improves sustainability awareness and simplifies self-reporting energy consumption for recommender systems practitioners and researchers.",cs.IR,http://arxiv.org/abs/2409.15060v1,https://arxiv.org/pdf/2409.15060v1,"cat:cs.IR AND all:""recommender systems""",data/raw/pdfs/2409.15060.pdf,data/processed/texts/2409.15060.txt,already_exists,extracted,14950,False
2109.12843v3,2109.12843,"A Survey of Graph Neural Networks for Recommender Systems: Challenges, Methods, and Directions",Chen Gao; Yu Zheng; Nian Li; Yinfeng Li; Yingrong Qin; Jinghua Piao; Yuhan Quan; Jianxin Chang; Depeng Jin; Xiangnan He; Yong Li,2021,2021-09-27T07:22:10Z,2023-01-12T06:57:03Z,"Recommender system is one of the most important information services on today's Internet. Recently, graph neural networks have become the new state-of-the-art approach to recommender systems. In this survey, we conduct a comprehensive review of the literature on graph neural network-based recommender systems. We first introduce the background and the history of the development of both recommender systems and graph neural networks. For recommender systems, in general, there are four aspects for categorizing existing works: stage, scenario, objective, and application. For graph neural networks, the existing methods consist of two categories, spectral models and spatial ones. We then discuss the motivation of applying graph neural networks into recommender systems, mainly consisting of the high-order connectivity, the structural property of data, and the enhanced supervision signal. We then systematically analyze the challenges in graph construction, embedding propagation/aggregation, model optimization, and computation efficiency. Afterward and primarily, we provide a comprehensive overview of a multitude of existing works of graph neural network-based recommender systems, following the taxonomy above. Finally, we raise discussions on the open problems and promising future directions in this area. We summarize the representative papers along with their code repositories in \url{https://github.com/tsinghua-fib-lab/GNN-Recommender-Systems}.",cs.IR,http://arxiv.org/abs/2109.12843v3,https://arxiv.org/pdf/2109.12843v3,"cat:cs.IR AND all:""recommender systems""",data/raw/pdfs/2109.12843.pdf,data/processed/texts/2109.12843.txt,already_exists,extracted,132076,False
2208.01696v1,2208.01696,Measuring Commonality in Recommendation of Cultural Content: Recommender Systems to Enhance Cultural Citizenship,Andres Ferraro; Gustavo Ferreira; Fernando Diaz; Georgina Born,2022,2022-08-02T19:14:49Z,2022-08-02T19:14:49Z,"Recommender systems have become the dominant means of curating cultural content, significantly influencing the nature of individual cultural experience. While the majority of research on recommender systems optimizes for personalized user experience, this paradigm does not capture the ways that recommender systems impact cultural experience in the aggregate, across populations of users. Although existing novelty, diversity, and fairness studies probe how systems relate to the broader social role of cultural content, they do not adequately center culture as a core concept and challenge. In this work, we introduce commonality as a new measure that reflects the degree to which recommendations familiarize a given user population with specified categories of cultural content. Our proposed commonality metric responds to a set of arguments developed through an interdisciplinary dialogue between researchers in computer science and the social sciences and humanities. With reference to principles underpinning non-profit, public service media systems in democratic societies, we identify universality of address and content diversity in the service of strengthening cultural citizenship as particularly relevant goals for recommender systems delivering cultural content. Taking diversity in movie recommendation as a case study in enhancing pluralistic cultural experience, we empirically compare systems' performance using commonality and existing utility, diversity, and fairness metrics. Our results demonstrate that commonality captures a property of system behavior complementary to existing metrics and suggest the need for alternative, non-personalized interventions in recommender systems oriented to strengthening cultural citizenship across populations of users. In this way, commonality contributes to a growing body of scholarship developing 'public good' rationales for digital media and ML systems.",cs.CY; cs.IR,http://arxiv.org/abs/2208.01696v1,https://arxiv.org/pdf/2208.01696v1,"cat:cs.IR AND all:""recommender systems""",data/raw/pdfs/2208.01696.pdf,data/processed/texts/2208.01696.txt,already_exists,extracted,28731,False
2309.05892v1,2309.05892,Distributionally-Informed Recommender System Evaluation,Michael D. Ekstrand; Ben Carterette; Fernando Diaz,2023,2023-09-12T00:34:02Z,2023-09-12T00:34:02Z,"Current practice for evaluating recommender systems typically focuses on point estimates of user-oriented effectiveness metrics or business metrics, sometimes combined with additional metrics for considerations such as diversity and novelty. In this paper, we argue for the need for researchers and practitioners to attend more closely to various distributions that arise from a recommender system (or other information access system) and the sources of uncertainty that lead to these distributions. One immediate implication of our argument is that both researchers and practitioners must report and examine more thoroughly the distribution of utility between and within different stakeholder groups. However, distributions of various forms arise in many more aspects of the recommender systems experimental process, and distributional thinking has substantial ramifications for how we design, evaluate, and present recommender systems evaluation and research results. Leveraging and emphasizing distributions in the evaluation of recommender systems is a necessary step to ensure that the systems provide appropriate and equitably-distributed benefit to the people they affect.",cs.IR; cs.HC,http://arxiv.org/abs/2309.05892v1,https://arxiv.org/pdf/2309.05892v1,"cat:cs.IR AND all:""recommender systems""",data/raw/pdfs/2309.05892.pdf,data/processed/texts/2309.05892.txt,already_exists,extracted,76157,False
2307.14951v1,2307.14951,Widespread Flaws in Offline Evaluation of Recommender Systems,Balázs Hidasi; Ádám Tibor Czapp,2023,2023-07-27T15:46:41Z,2023-07-27T15:46:41Z,"Even though offline evaluation is just an imperfect proxy of online performance -- due to the interactive nature of recommenders -- it will probably remain the primary way of evaluation in recommender systems research for the foreseeable future, since the proprietary nature of production recommenders prevents independent validation of A/B test setups and verification of online results. Therefore, it is imperative that offline evaluation setups are as realistic and as flawless as they can be. Unfortunately, evaluation flaws are quite common in recommender systems research nowadays, due to later works copying flawed evaluation setups from their predecessors without questioning their validity. In the hope of improving the quality of offline evaluation of recommender systems, we discuss four of these widespread flaws and why researchers should avoid them.",cs.IR,http://arxiv.org/abs/2307.14951v1,https://arxiv.org/pdf/2307.14951v1,"cat:cs.IR AND all:""recommender systems""",data/raw/pdfs/2307.14951.pdf,data/processed/texts/2307.14951.txt,already_exists,extracted,32910,False
2211.16366v1,2211.16366,Reusable Self-Attention-based Recommender System for Fashion,Marjan Celikik; Jacek Wasilewski; Sahar Mbarek; Pablo Celayes; Pierre Gagliardi; Duy Pham; Nour Karessli; Ana Peleteiro Ramallo,2022,2022-11-29T16:47:20Z,2022-11-29T16:47:20Z,"A large number of empirical studies on applying self-attention models in the domain of recommender systems are based on offline evaluation and metrics computed on standardized datasets, without insights on how these models perform in real life scenarios. Moreover, many of them do not consider information such as item and customer metadata, although deep-learning recommenders live up to their full potential only when numerous features of heterogeneous types are included. Also, typically recommendation models are designed to serve well only a single use case, which increases modeling complexity and maintenance costs, and may lead to inconsistent customer experience. In this work, we present a reusable Attention-based Fashion Recommendation Algorithm (AFRA), that utilizes various interaction types with different fashion entities such as items (e.g., shirt), outfits and influencers, and their heterogeneous features. Moreover, we leverage temporal and contextual information to address both short and long-term customer preferences. We show its effectiveness on outfit recommendation use cases, in particular: 1) personalized ranked feed; 2) outfit recommendations by style; 3) similar item recommendation and 4) in-session recommendations inspired by most recent customer actions. We present both offline and online experimental results demonstrating substantial improvements in customer retention and engagement.",cs.IR; cs.LG,http://arxiv.org/abs/2211.16366v1,https://arxiv.org/pdf/2211.16366v1,"cat:cs.IR AND all:""recommender systems""",data/raw/pdfs/2211.16366.pdf,data/processed/texts/2211.16366.txt,already_exists,extracted,38271,False
2210.10309v1,2210.10309,Multi-Objective Recommender Systems: Survey and Challenges,Dietmar Jannach,2022,2022-10-19T05:51:54Z,2022-10-19T05:51:54Z,"Recommender systems can be characterized as software solutions that provide users convenient access to relevant content. Traditionally, recommender systems research predominantly focuses on developing machine learning algorithms that aim to predict which content is relevant for individual users. In real-world applications, however, optimizing the accuracy of such relevance predictions as a single objective in many cases is not sufficient. Instead, multiple and often competing objectives have to be considered, leading to a need for more research in multi-objective recommender systems. We can differentiate between several types of such competing goals, including (i) competing recommendation quality objectives at the individual and aggregate level, (ii) competing objectives of different involved stakeholders, (iii) long-term vs. short-term objectives, (iv) objectives at the user interface level, and (v) system level objectives. In this paper we review these types of multi-objective recommendation settings and outline open challenges in this area.",cs.IR; cs.LG,http://arxiv.org/abs/2210.10309v1,https://arxiv.org/pdf/2210.10309v1,"cat:cs.IR AND all:""recommender systems""",data/raw/pdfs/2210.10309.pdf,data/processed/texts/2210.10309.txt,already_exists,extracted,31626,False
2207.12515v2,2207.12515,A Survey on Trustworthy Recommender Systems,Yingqiang Ge; Shuchang Liu; Zuohui Fu; Juntao Tan; Zelong Li; Shuyuan Xu; Yunqi Li; Yikun Xian; Yongfeng Zhang,2022,2022-07-25T20:23:25Z,2024-02-22T02:14:55Z,"Recommender systems (RS), serving at the forefront of Human-centered AI, are widely deployed in almost every corner of the web and facilitate the human decision-making process. However, despite their enormous capabilities and potential, RS may also lead to undesired effects on users, items, producers, platforms, or even the society at large, such as compromised user trust due to non-transparency, unfair treatment of different consumers, or producers, privacy concerns due to extensive use of user's private data for personalization, just to name a few. All of these create an urgent need for Trustworthy Recommender Systems (TRS) so as to mitigate or avoid such adverse impacts and risks. In this survey, we will introduce techniques related to trustworthy recommendation, including but not limited to explainable recommendation, fairness in recommendation, privacy-aware recommendation, robustness in recommendation, user-controllable recommendation, as well as the relationship between these different perspectives in terms of trustworthy recommendation. Through this survey, we hope to deliver readers with a comprehensive view of the research area and raise attention to the community about the importance, existing research achievements, and future research directions on trustworthy recommendation.",cs.IR,http://arxiv.org/abs/2207.12515v2,https://arxiv.org/pdf/2207.12515v2,"cat:cs.IR AND all:""recommender systems""",data/raw/pdfs/2207.12515.pdf,data/processed/texts/2207.12515.txt,already_exists,extracted,5570,False
2308.07857v2,2308.07857,Impression-Aware Recommender Systems,Fernando B. Pérez Maurera; Maurizio Ferrari Dacrema; Pablo Castells; Paolo Cremonesi,2023,2023-08-15T16:16:02Z,2024-12-17T00:14:25Z,"Novel data sources bring new opportunities to improve the quality of recommender systems and serve as a catalyst for the creation of new paradigms on personalized recommendations. Impressions are a novel data source containing the items shown to users on their screens. Past research focused on providing personalized recommendations using interactions, and occasionally using impressions when such a data source was available. Interest in impressions has increased due to their potential to provide more accurate recommendations. Despite this increased interest, research in recommender systems using impressions is still dispersed. Many works have distinct interpretations of impressions and use impressions in recommender systems in numerous different manners. To unify those interpretations into a single framework, we present a systematic literature review on recommender systems using impressions, focusing on three fundamental perspectives: recommendation models, datasets, and evaluation methodologies. We define a theoretical framework to delimit recommender systems using impressions and a novel paradigm for personalized recommendations, called impression-aware recommender systems. We propose a classification system for recommenders in this paradigm, which we use to categorize the recommendation models, datasets, and evaluation methodologies used in past research. Lastly, we identify open questions and future directions, highlighting missing aspects in the reviewed literature.",cs.IR; cs.AI; cs.LG,http://arxiv.org/abs/2308.07857v2,https://arxiv.org/pdf/2308.07857v2,"cat:cs.IR AND all:""recommender systems""",data/raw/pdfs/2308.07857.pdf,data/processed/texts/2308.07857.txt,already_exists,extracted,142799,False
2402.06233v1,2402.06233,"Collaborative filtering, K-nearest neighbor and cosine similarity in home decor recommender systems",Nanna Bach Munkholm; Robert Alphinas; Torben Tambo,2024,2024-02-09T07:50:14Z,2024-02-09T07:50:14Z,"An architectural framework, based on collaborative filtering using K-nearest neighbor and cosine similarity, was developed and implemented to fit the requirements for the company DecorRaid. The aim of the paper is to test different evaluation techniques within the environment to research the recommender systems performance. Three perspectives were found relevant for evaluating a recommender system in the specific environment, namely dataset, system and user perspective. With these perspectives it was possible to gain a broader view of the recommender systems performance. Online A/B split testing was conducted to compare the performance of small adjustments to the RS and to test the relevance of the evaluation techniques. Key factors are solving the sparsity and cold start problem, where the suggestion is to research a hybrid RS combining Content-based and CF based techniques.",cs.IR; cs.SI,http://arxiv.org/abs/2402.06233v1,https://arxiv.org/pdf/2402.06233v1,"cat:cs.IR AND all:""recommender systems""",data/raw/pdfs/2402.06233.pdf,data/processed/texts/2402.06233.txt,already_exists,extracted,20731,False
